description,category
ielts for science,Study
new charger shopping,Shopping
calculator for marketing,Study
science certification fee,Study
ate whisky with family,Food
bought lesson,Study
marketing school fee,Study
had americano with family,Food
bought shoes from nike,Shopping
course for music,Study
new ipad for note taking,Study
paid for vodka party,Food
gym subscription,Others
tax bill,Others
ordered americano party,Food
rice at food court,Food
course for marketing,Study
diesel for suv,Transport
marketing tuition,Study
bought pen,Study
new flower shopping,Shopping
coursera for coding,Study
bought boots from h&m,Shopping
bought planner,Study
gojek tire change,Transport
juice at winmart,Food
whisky at supermarket,Food
gasoline for motor,Transport
class for marketing,Study
eraser for business,Study
office 365 subscription,Others
bought luggage from shop,Shopping
gas bill,Others
art exam fee,Study
petrol for bus,Transport
eraser for english,Study
bought speaker from supermarket,Shopping
barber fee,Others
suv tire change,Transport
science tuition,Study
apple music subscription,Others
tax bill,Others
fuel for plane,Transport
mortgage bill,Others
bought seminar,Study
plane fare to station,Transport
pencil for business,Study
diesel for vinasun,Transport
new razor shopping,Shopping
yoga subscription,Others
taxi ticket to downtown,Transport
music exam fee,Study
youtube subscription,Others
new gift shopping,Shopping
duolingo for marketing,Study
new luggage shopping,Shopping
soda at street food,Food
new speaker shopping,Shopping
croissant at food court,Food
bought coursera,Study
bought shoes from amazon,Shopping
paid for cocktail party,Food
bought mouse from h&m,Shopping
insurance bill,Others
bought magazine,Study
metro maintenance,Transport
donut at supermarket,Food
vinasun wash,Transport
ate beer for breakfast,Food
internet bill,Others
comic for design,Study
bought edx,Study
cable bill,Others
gym subscription,Others
rice at circle k,Food
be journey to home,Transport
new razor shopping,Shopping
gojek rental to home,Transport
smoothie at dominos,Food
barber fee,Others
fish at 7-eleven,Food
steak at food court,Food
newspaper subscription,Others
ate sushi for lunch,Food
internet bill,Others
new heels shopping,Shopping
bought belt from gucci,Shopping
new shorts shopping,Shopping
train trip to office,Transport
programming membership,Study
diesel for flight,Transport
gas for motorbike,Transport
gas for uber,Transport
new glasses shopping,Shopping
spa fee,Others
ordered americano with family,Food
bought marker,Study
bought coursera,Study
laundry fee,Others
bill for ramen date,Food
dentist fee,Others
new jeans shopping,Shopping
macchiato at bistro,Food
new sweater shopping,Shopping
macchiato at supermarket,Food
new blouse shopping,Shopping
bought earphones from shopee,Shopping
new mouse shopping,Shopping
subway fare to station,Transport
bought ring from shop,Shopping
new book shopping,Shopping
bought lesson,Study
bought shoes from uniqlo,Shopping
music tuition,Study
business photocopy,Study
gym subscription,Others
bought duolingo,Study
art school fee,Study
new jeans shopping,Shopping
design photocopy,Study
movie ticket,Others
event ticket,Others
sedan ticket trip,Transport
mai linh journey to airport,Transport
mortgage bill,Others
internet bill,Others
taxi oil change,Transport
bought soap from market,Shopping
scooter tire change,Transport
bought book from uniqlo,Shopping
bought pencil,Study
cappuccino at street food,Food
music tuition,Study
banh mi at food court,Food
bought gloves from shopee,Shopping
maintenance fee,Others
edx for science,Study
airline maintenance,Transport
kimbap at ministop,Food
coding exam fee,Study
youtube subscription,Others
bought trousers from nike,Shopping
show ticket,Others
petrol for scooter,Transport
motorbike booking to work,Transport
new leather wallet,Shopping
new hoodie shopping,Shopping
netflix subscription,Others
new tablet shopping,Shopping
new pants shopping,Shopping
haircut fee,Others
coffee at subway,Food
bill for cold brew for lunch,Food
bagel at subway,Food
novel for art,Study
tax bill,Others
be trip to office,Transport
wine at ministop,Food
design school fee,Study
maintenance fee,Others
oil for bike,Transport
banh mi at food court,Food
bike rental trip,Transport
bought suitcase from amazon,Shopping
uber repair,Transport
bought bag from adidas,Shopping
repair fee,Others
cab maintenance,Transport
bus fare to home,Transport
bought dictionary,Study
new bag shopping,Shopping
enjoyed pizza with friends,Food
bought gift from zara,Shopping
netflix subscription,Others
public transport card top up,Transport
bought sweater from shopee,Shopping
bill for tteokbokki for lunch,Food
magazine subscription,Others
bought boots from nike,Shopping
gojek booking to home,Transport
train station parking,Transport
bought ruler,Study
mai linh trip to office,Transport
icloud subscription,Others
zara summer collection dress,Shopping
pen for programming,Study
metro oil change,Transport
car ticket to mall,Transport
music subscription,Study
bought shampoo from uniqlo,Shopping
xoi at texas chicken,Food
suv ride trip,Transport
toeic for programming,Study
flight rental to station,Transport
barber fee,Others
paid for ice cream meeting,Food
dentist fee,Others
bought bag from nike,Shopping
new notebook shopping,Shopping
concert ticket,Others
bowling ticket,Others
loan bill,Others
new beanie shopping,Shopping
sedan tire change,Transport
art membership,Study
magazine subscription,Others
car garage monthly rent,Transport
bought face wash from zara,Shopping
data science membership,Study
subway toll,Transport
enjoyed fish takeout,Food
petrol for subway,Transport
be toll,Transport
bought suit from zara,Shopping
pencil for science,Study
metro trip to downtown,Transport
new purse shopping,Shopping
sushi at starbucks,Food
bought cap from shop,Shopping
tteokbokki at circle k,Food
grab parking,Transport
maintenance fee,Others
new gloves shopping,Shopping
mobile bill,Others
new soap shopping,Shopping
diesel for bus,Transport
youtube subscription,Others
new conditioner shopping,Shopping
bought calculator,Study
museum ticket,Others
bought training,Study
car ticket to downtown,Transport
data science certification fee,Study
com tam at starbucks,Food
new deodorant shopping,Shopping
eraser for music,Study
bill for banh mi for dinner,Food
cab fare trip,Transport
diesel for cab,Transport
taxi journey to office,Transport
enjoyed hu tieu with family,Food
charging for sedan,Transport
bought highlighter,Study
petrol for airline,Transport
new jacket shopping,Shopping
music school fee,Study
programming subscription,Study
pharmacy fee,Others
ordered rice party,Food
drank vegetables with friends,Food
new dress shopping,Shopping
coffee at bistro,Food
hu tieu at 7-eleven,Food
electricity bill,Others
new phone shopping,Shopping
bought pencil,Study
textbook for science,Study
magazine subscription,Others
journal for programming,Study
bought lesson,Study
uber wash,Transport
bought comic,Study
ielts for music,Study
apple music subscription,Others
bought cable from shop,Shopping
be ride to downtown,Transport
hospital fee,Others
enjoyed ice cream delivery,Food
taco bell drive thru,Food
new shampoo shopping,Shopping
data science photocopy,Study
office 365 subscription,Others
movie ticket,Others
dumplings at phuc long,Food
bought ielts,Study
internet bill,Others
medicine fee,Others
cab repair,Transport
new earphones shopping,Shopping
new perfume shopping,Shopping
bought shampoo from adidas,Shopping
new bag shopping,Shopping
show ticket,Others
subway trip to office,Transport
fuel for suv,Transport
scooter toll,Transport
seafood at lotte,Food
enjoyed sushi for dinner,Food
doctor fee,Others
flight repair,Transport
mai linh wash,Transport
mai linh trip to school,Transport
new monitor shopping,Shopping
bought shirt from market,Shopping
ticket ticket,Others
new notebook shopping,Shopping
had bagel takeout,Food
educational youtube membership,Study
oil for grab,Transport
music printing,Study
pharmacy fee,Others
new skirt shopping,Shopping
webinar for english,Study
apple music subscription,Others
bought webinar,Study
uber rental trip,Transport
bought webinar,Study
laundry fee,Others
bought vegetables with friends,Food
monthly netflix subscription,Others
denim jeans from levi's,Shopping
new makeup shopping,Shopping
massage fee,Others
sedan booking to home,Transport
edx for marketing,Study
new game shopping,Shopping
ielts for python,Study
pizza hut pepperoni pizza,Food
music printing,Study
charity monthly donation,Others
mai linh ticket to airport,Transport
new case shopping,Shopping
new shoes shopping,Shopping
flight parking,Transport
bought notebook,Study
bun cha at family mart,Food
drank banh mi for breakfast,Food
phone bill,Others
ordered kimbap snack,Food
paid for cappuccino delivery,Food
new pen shopping,Shopping
math subscription,Study
journal for english,Study
suv service,Transport
magazine subscription,Others
edx for english,Study
bought textbook,Study
bought laptop from mall,Shopping
bought keyboard from nike,Shopping
bought conditioner from nike,Shopping
paid for seafood delivery,Food
mai linh ride trip,Transport
bought socks from market,Shopping
movie ticket,Others
new glasses shopping,Shopping
new cap shopping,Shopping
seminar for business,Study
planner for coding,Study
bought ring from store,Shopping
bought class,Study
course for art,Study
salon fee,Others
ordered kimbap for breakfast,Food
flight wash,Transport
ordered cocktail alone,Food
fuel for grab,Transport
airline ticket to downtown,Transport
yogurt at dominos,Food
cab journey to downtown,Transport
new sandals shopping,Shopping
plane ride trip,Transport
bought yogurt for lunch,Food
bought lipstick from supermarket,Shopping
ramen at highlands,Food
internet bill,Others
internet bill,Others
drank hu tieu party,Food
park ticket,Others
new jeans shopping,Shopping
new conditioner shopping,Shopping
fuel for be,Transport
bought udemy,Study
science school fee,Study
bought training,Study
house cleaning service,Others
bought pencil,Study
bought tablet from tiki,Shopping
